Date,Unleaded_95_Price
1990-09-17,1.74
1990-10-02,1.9
1990-10-17,1.75
1990-11-02,1.75
1990-11-18,1.57
1990-12-02,1.57
1990-12-17,1.38
1991-01-01,1.49
1991-01-17,1.49
1991-02-01,1.49
1991-02-17,1.41
1991-03-01,1.34
1991-03-18,1.34
1991-03-19,1.51
1991-04-01,1.51
1991-04-17,1.51
1991-05-01,1.54
1991-05-17,1.54
1991-06-02,1.65
1991-07-01,1.65
1991-08-01,1.61
1991-09-01,1.58
1991-10-02,1.63
1991-10-17,1.63
1991-11-01,1.67
1991-12-01,1.7
1991-12-17,1.64
1992-01-01,1.62
1992-02-02,1.62
1992-03-01,1.66
1992-04-01,1.64
1992-05-01,1.68
1992-06-01,1.82
1992-07-01,1.88
1992-08-02,1.78
1992-09-01,1.75
1992-10-01,1.83
1992-11-01,1.81
1992-12-01,1.89
1993-01-01,1.74
1993-02-01,1.72
1993-03-01,1.79
1993-04-01,1.82
1993-05-01,1.86
1993-06-01,1.86
1993-07-01,1.85
1993-08-01,1.84
1993-09-01,1.84
1993-10-01,1.83
1993-11-01,1.85
1993-12-01,1.79
1993-12-17,1.79
1994-01-02,1.84
1994-01-17,1.85
1994-02-01,1.86
1994-03-01,1.86
1994-04-01,1.89
1994-05-01,1.96
1994-06-01,1.99
1994-07-01,2.06
1994-08-01,2.08
1994-08-17,2.13
1994-09-01,2.1
1994-10-02,2.06
1994-10-17,2.05
1994-11-01,2.08
1994-12-01,2.04
1995-01-01,2.08
1995-02-01,2.09
1995-02-01,2.58
1995-03-01,2.1
1995-04-02,2.13
1995-05-01,2.18
1995-06-01,2.21
1995-07-01,2.16
1995-08-01,2.13
1995-08-17,2.18
1995-09-01,2.17
1995-10-01,2.2
1995-11-01,2.2
1995-12-01,2.22
1995-12-17,2.18
1996-01-01,2.23
1996-01-07,2.58
1996-03-01,2.61
1996-04-01,2.75
1996-04-15,2.82
1996-05-01,2.84
1996-06-01,2.81
1996-07-01,2.83
1996-08-01,2.84
1996-09-01,2.85
1996-09-17,2.87
1996-10-01,2.88
1996-10-17,2.94
1996-11-01,2.98
1996-12-01,2.92
1996-12-24,3.19
1997-01-01,3.2
1997-01-07,3.2
1997-02-02,3.21
1997-02-17,3.2
1997-03-02,3.2
1997-04-01,3.27
1997-05-01,3.24
1997-06-01,3.29
1997-06-17,3.23
1997-07-01,3.28
1997-08-01,3.33
1997-09-01,3.37
1997-10-01,3.38
1997-11-02,3.38
1997-12-01,3.34
1997-12-17,3.32
1998-01-01,3.32
1998-01-18,3.29
1998-02-01,3.28
1998-02-17,3.29
1998-03-01,3.29
1998-03-17,3.22
1998-04-01,3.28
1998-05-03,3.29
1998-05-17,3.3
1998-06-01,3.27
1998-07-01,3.32
1998-07-17,3.35
1998-08-02,3.31
1998-09-01,3.34
1998-09-17,3.32
1998-10-01,3.36
1998-10-18,3.39
1998-11-01,3.39
1998-12-01,3.29
1998-12-17,3.26
1999-01-01,3.38
1999-01-17,3.44
1999-02-01,3.41
1999-02-17,3.41
1999-03-01,3.41
1999-03-17,3.44
1999-04-02,3.51
1999-04-18,3.54
1999-05-02,3.59
1999-05-17,3.59
1999-06-01,3.55
1999-06-17,3.59
1999-07-01,3.61
1999-07-18,3.71
1999-08-01,3.76
1999-08-17,3.9
1999-09-01,3.88
1999-10-01,3.94
1999-11-01,3.9
1999-11-17,3.91
1999-12-01,3.99
2000-01-02,3.97
2000-01-17,3.89
2000-02-01,3.95
2000-03-01,4.09
2000-03-17,4.19
2000-04-02,4.13
2000-04-17,4.02
2000-05-01,4.05
2000-05-17,4.17
2000-06-01,4.37
2000-06-18,4.42
2000-07-02,4.49
2000-08-01,4.12
2000-09-01,4.21
2000-09-17,4.28
2000-10-02,4.2
2000-11-01,4.3
2000-12-01,4.14
2001-01-01,3.85
2001-02-01,4.05
2001-03-01,4.07
2001-04-01,4.06
2001-05-01,4.27
2001-06-01,4.24
2001-07-01,4.0
2001-08-01,3.98
2001-09-02,4.08
2001-10-01,4.01
2001-11-01,3.85
2001-11-01,3.85
2001-12-02,3.75
2002-01-01,3.79
2002-02-01,3.86
2002-03-01,3.86
2002-04-01,4.17
2002-05-01,4.26
2002-06-02,4.24
2002-06-15,4.28
2002-07-01,4.35
2002-08-01,4.36
2002-09-01,4.36
2002-10-01,4.51
2002-11-01,4.38
2002-12-01,4.28
2003-01-01,4.54
2003-02-02,4.64
2003-03-02,4.8
2003-04-01,4.54
2003-05-01,4.43
2003-06-01,4.4
2003-07-01,4.39
2003-08-01,4.46
2003-09-01,4.64
2003-10-01,4.34
2003-11-02,4.48
2003-12-01,4.47
2004-01-01,4.41
2004-02-01,4.6
2004-03-01,4.59
2004-04-01,4.72
2004-05-02,4.88
2004-06-01,5.04
2004-07-01,4.86
2004-08-01,4.97
2004-09-01,4.95
2004-10-01,5.1
2004-11-01,5.18
2004-12-01,5.0
2005-01-02,4.67
2005-02-01,4.98
2005-03-01,4.96
2005-04-01,5.24
2005-05-01,5.37
2005-06-01,5.11
2005-07-01,5.52
2005-08-01,5.55
2005-09-01,5.79
2005-10-01,5.83
2005-10-02,6.12
2005-11-01,5.52
2005-12-01,5.35
2006-01-01,5.42
2006-02-01,5.74
2006-03-01,5.61
2006-04-02,5.9
2006-05-01,6.21
2006-06-01,6.19
2006-07-01,6.17
2006-07-02,6.23
2006-08-01,6.4
2006-09-01,5.86
2006-10-01,5.37
2006-11-01,5.39
2006-12-01,5.43
2007-01-01,5.4
2007-02-01,5.2
2007-03-01,5.47
2007-04-01,5.73
2007-05-01,5.99
2007-06-01,6.07
2007-07-01,6.17
2007-08-01,6.04
2007-09-02,5.8
2007-10-01,5.97
2007-11-01,6.13
2007-12-02,6.3
2008-01-01,6.23
2008-02-01,5.98
2008-03-02,6.2
2008-04-01,6.29
2008-05-01,6.58
2008-06-01,6.73
2008-07-01,7.0
2008-08-01,6.67
2008-09-01,6.69
2008-10-02,6.35
2008-11-02,5.49
2008-12-01,5.0
2009-01-01,4.75
2009-02-01,5.08
2009-03-01,5.04
2009-04-01,5.46
2009-05-01,5.44
2009-05-21,5.79
2009-06-01,6.14
2009-07-01,6.35
2009-08-02,6.29
2009-09-01,6.32
2009-10-01,6.19
2009-11-01,6.54
2009-12-01,6.5
2010-01-01,6.44
2010-02-01,6.43
2010-03-01,6.55
2010-04-01,6.62
2010-05-01,6.69
2010-06-01,6.35
2010-07-01,6.51
2010-08-01,6.47
2010-09-01,6.41
2010-10-01,6.42
2010-11-01,6.62
2010-12-01,6.71
2011-01-02,7.14
2011-02-01,7.26
2011-02-14,7.02
2011-03-01,7.3
2011-04-01,7.39
2011-05-01,7.62
2011-06-01,7.46
2011-07-01,7.22
2011-08-01,7.22
2011-09-01,7.27
2011-10-01,7.29
2011-11-01,7.22
2011-12-01,7.11
2012-01-01,7.23
2012-02-01,7.46
2012-03-01,7.74
2012-04-01,7.79
2012-05-01,7.65
2012-06-01,7.43
2012-07-01,7.27
2012-08-01,7.7
2012-09-01,7.77
2012-09-02,8.25
2012-10-02,7.94
2012-11-01,7.58
2012-12-02,7.52
2013-01-01,7.52
2013-02-01,7.83
2013-03-01,7.95
2013-04-02,7.57
2013-05-01,7.26
2013-06-02,7.52
2013-07-01,7.43
2013-08-01,7.6
2013-09-01,7.85
2013-10-01,7.42
2013-11-01,7.32
2013-12-01,7.4
2014-01-01,7.45
2014-02-02,7.36
2014-03-02,7.53
2014-04-01,7.5
2014-05-01,7.57
2014-06-01,7.52
2014-07-01,7.62
2014-08-01,7.4
2014-09-01,7.39
2014-10-01,7.32
2014-11-01,7.05
2014-12-01,6.9
2015-01-01,6.27
2015-02-01,6.08
2015-03-01,6.46
2015-04-01,6.52
2015-05-01,6.63
2015-06-01,6.64
2015-07-01,6.65
2015-08-02,6.38
2015-09-01,6.09
2015-10-01,6.07
2015-11-01,5.96
2015-12-01,5.99
2016-01-01,5.78
2016-02-01,5.73
2016-03-01,5.54
2016-04-01,5.84
2016-05-01,5.85
2016-06-01,6.01
2016-07-01,5.96
2016-08-01,5.69
2016-09-01,5.96
2016-10-02,5.89
2016-11-01,6.03
2016-12-01,5.96
2017-01-01,6.16
2017-02-01,6.16
2017-03-01,6.1
2017-04-02,5.96
2017-05-01,6.02
2017-06-01,5.99
2017-07-02,5.76
2017-08-01,5.94
